,LGA,price
0,Yarra,729560510.0
1,Moonee Valley,984378399.0
2,Port Phillip,718649049.0
3,Darebin,855357239.0
4,Hobsons Bay,434405050.0
5,Stonnington,929941558.0
6,Boroondara,1910772138.0
7,Monash,389040200.0
8,Glen Eira,906748248.0
9,Whitehorse,375202200.0
10,Maribyrnong,561695544.0
11,Bayside,807910188.0
12,Moreland,961286482.0
13,Manningham,384135000.0
14,Banyule,560990250.0
15,Melbourne,434995529.0
16,Kingston,202365847.0
17,Brimbank,274413099.0
18,Hume,92070700.0
19,Knox,71591688.0
20,Maroondah,68082000.0
21,Casey,24943500.0
22,Melton,32975100.0
23,Greater Dandenong,36247500.0
24,Nillumbik,30935500.0
25,Whittlesea,105336300.0
26,Frankston,34926198.0
27,Macedon Ranges,4421000.0
28,Yarra Ranges,13434482.0
29,Wyndham,45735950.0
30,Cardinia,4585000.0
31,Moorabool,285000.0
